id,num_sold
230130,509.0
230131,509.0
230132,509.0
230133,509.0
230134,509.0
230135,509.0
230136,1124.0
230137,642.0
230138,762.0
230139,262.0
230140,1658.0
230141,1308.0
230142,756.0
230143,905.0
230144,115.0
230145,718.0
230146,568.0
230147,331.0
230148,384.0
230149,235.0
230150,1435.0
230151,1110.0
230152,659.0
230153,770.0
230154,261.0
230155,1664.0
230156,1298.0
230157,766.0
230158,936.0
230159,79.0
230160,499.0
230161,399.0
230162,226.0
230163,272.0
230164,167.0
230165,1046.0
230166,822.0
230167,456.0
230168,528.0
230169,194.0
230170,1189.0
230171,953.0
230172,525.0
230173,662.0
230174,8.0
230175,24.0
230176,18.0
230177,10.0
230178,12.0
230179,8.0
230180,50.0
230181,36.0
230182,21.0
230183,27.0
230184,8.0
230185,56.0
230186,44.0
230187,26.0
230188,31.0
230189,191.0
230190,1235.0
230191,1015.0
230192,559.0
230193,680.0
230194,396.0
230195,2383.0
230196,1936.0
230197,1162.0
230198,1355.0
230199,442.0
230200,2823.0
230201,2191.0
230202,1283.0
230203,1597.0
230204,147.0
230205,934.0
230206,752.0
230207,428.0
230208,532.0
230209,302.0
230210,1911.0
230211,1436.0
230212,862.0
230213,993.0
230214,342.0
230215,2149.0
230216,1640.0
230217,979.0
230218,1237.0
230219,248.0
230220,710.0
230221,500.0
230222,295.0
230223,360.0
230224,233.0
230225,1214.0
230226,979.0
230227,557.0
230228,673.0
230229,230.0
230230,1445.0
230231,1125.0
230232,655.0
230233,790.0
230234,100.0
230235,635.0
230236,486.0
230237,287.0
230238,338.0
230239,206.0
230240,1275.0
230241,975.0
230242,578.0
230243,683.0
230244,230.0
230245,1456.0
230246,1118.0
230247,667.0
230248,816.0
230249,70.0
230250,437.0
230251,347.0
230252,200.0
230253,239.0
230254,148.0
230255,920.0
230256,717.0
230257,400.0
230258,468.0
230259,174.0
230260,1043.0
230261,820.0
230262,460.0
230263,576.0
230264,7.0
230265,21.0
230266,16.0
230267,9.0
230268,11.0
230269,7.0
230270,44.0
230271,31.0
230272,18.0
230273,23.0
230274,8.0
230275,49.0
230276,38.0
230277,21.0
230278,26.0
230279,167.0
230280,1068.0
230281,885.0
230282,486.0
230283,584.0
230284,351.0
230285,2042.0
230286,1696.0
230287,1020.0
230288,1166.0
230289,393.0
230290,2440.0
230291,1908.0
230292,1108.0
230293,1351.0
230294,130.0
230295,818.0
230296,650.0
230297,373.0
230298,458.0
230299,266.0
230300,1632.0
230301,1239.0
230302,752.0
